BARCODE,AVAILABILITY,LOCATION,LOCATION 2,FRAME NO.,PKEY,MANUFACTURER,MODEL,SIZE,F COLOUR,F GROUP,SUPPLIER,DISPLAY STOCK,QUANTITY,F TYPE,SUPBARCODE,ISTOCKCODE,TEMPLE,DEPTH,DIAG,BASECURVE,SUNGRX,REORDATE,REORDER,REORDER QTY,RRP,EXLISTPR,LIST PRICE,EXCOSTPR,COST PRICE,EXPREVCOST,PREVCOST,EXAVGCOST,AVGCOST,EXDPRECOST,DPRECOST,WSALEET,WSALEIT,APPORDER,LASTSALE2,LASTSALE,FIRSTPUR,LASTPUR,RETURBY,DQTY,REFRESH,LASTINV,DISPC,TAXPC,FRSTATUS,FRSTATUS2,QTY ON ORDER,QTY ON APPRO,RELEASE,AVAIL FROM,AVAIL TILL,FRANGE,SRV CHARGE,EXLIST SRV,LIST SRV,EXRRP SRV,RRP SRV,MODKEY,ORDERAGAIN,PROSUPPLY,PSSUPFIT,PS CREATED,PS UPDATE AT,USER,MODIFIED,DELFLAG,XFER,PROVISION,PVINACTIVE,LOGSTR,FGID,SUP STATUS,LLAB ORDER,LDOWNLOAD,UUID,NOTE,PHOTO,BARCODE_CLEAN
10572,,OPT,,ORO000450,198086,Le Specs,LA PLAY 48,48-21,2226689,,ORO,,1,LS,,,145.0,42,49.0,,,/  /,0.0,0.0,219,76.82,84.5,72.99,80.29,72.99,80.29,72.99,80.29,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45524.0,45524.0,/  /,0.0,,,4.98,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10572.0
10573,,OPT,,ORO000451,198087,Le Specs,BIOPIC,48-22,2351518,,ORO,,1,LS,,,145.0,41,49.0,,,/  /,0.0,0.0,219,76.82,84.5,72.99,80.29,72.99,80.29,72.99,80.29,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45524.0,45524.0,/  /,0.0,,,4.98,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10573.0
10574,,OPT,,ORO000452,198088,Oroton,BROOKE,54-16,2456105,F,ORO,,1,LM,,,140.0,42,55.0,,,/  /,0.0,0.0,330,130.0,143.0,117.0,128.7,117.0,128.7,117.0,128.7,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45524.0,45524.0,/  /,0.0,,,10.0,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10574.0
10575,,OPT,,ORO000454,198095,Camilla,Weekend in Napa,50-15,Monogram Tort,F,ORO,,1,LS,,,140.0,36,46.0,,,/  /,0.0,0.0,350,140.0,154.0,112.0,123.2,112.0,123.2,112.0,123.2,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45552.0,45552.0,/  /,0.0,,1651141.0,20.0,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10575.0
10576,,OPT,,ORO000455,198096,Camilla,Utopia,55-16,Reservation for Love,F,ORO,,1,LS,,,140.0,37,52.0,,,/  /,0.0,0.0,390,160.0,176.0,128.0,140.8,128.0,140.8,128.0,140.8,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45552.0,45552.0,/  /,0.0,,1651141.0,20.0,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10576.0
10577,,OPT,,ORO000456,198097,Camilla,Curtain Call,51-20,Sea Green,F,ORO,,1,LS,,,145.0,39,51.0,,,/  /,0.0,0.0,390,160.0,176.0,128.0,140.8,128.0,140.8,128.0,140.8,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45552.0,45552.0,/  /,0.0,,1651141.0,20.0,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10577.0
10578,,OPT,,ORO000457,198098,Camilla,Oasis Dream,51-20,Haze Tort,F,ORO,,1,LS,,,145.0,43,51.0,,,/  /,0.0,0.0,390,172.73,190.0,125.62,138.18,128.0,140.8,125.62,138.18,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45552.0,45552.0,/  /,0.0,,1651141.0,27.27,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10578.0
10579,,OPT,,ORO000458,198099,Camilla,Day Tripper,54-18,Soft Gold,F,ORO,,1,UM,,,140.0,34,50.0,,,/  /,0.0,0.0,390,159.09,175.0,115.71,127.28,115.71,127.28,115.71,127.28,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45552.0,45552.0,/  /,0.0,,1651141.0,27.27,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10579.0
10580,,OPT,,ORO000459,198100,Camilla,Outfit in Motion,52-16,Emerald Leopard,F,ORO,,1,LS,,,145.0,39,50.0,,,/  /,0.0,0.0,350,140.0,154.0,112.0,123.2,101.82,112.0,112.0,123.2,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45552.0,45552.0,/  /,0.0,,1651141.0,20.0,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10580.0
10581,,OPT,,ORO000460,198101,Camilla,Nefertari,53-18,Charcoal Grey,F,ORO,,1,LS,,,145.0,38,53.0,,,/  /,0.0,0.0,390,160.0,176.0,128.0,140.8,128.0,140.8,128.0,140.8,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45552.0,45552.0,/  /,0.0,,1651141.0,20.0,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10581.0
